,URL,Name,Price,Rating,Reviews
0,https://www.amazon.in/Skybags Brat Black 46 Cms Casual Backpack ,Skybags Brat Black 46 Cms Casual Backpack,659,4.1 out of 5 stars,"(3,778)"
1,https://www.amazon.in/Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.0 out of 5 stars,"(9,817)"
2,https://www.amazon.in/American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),"1,199",4.1 out of 5 stars,"(52,313)"
3,"https://www.amazon.in/American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ",Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,299",4.1 out of 5 stars,(8)
4,https://www.amazon.in/American Tourister Casual Backpack ,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips","1,139",4.1 out of 5 stars,"(14,468)"
5,"https://www.amazon.in/American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ",SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),"1,249",4.1 out of 5 stars,(8)
6,https://www.amazon.in/American Tourister Ivy Spinner Polypropylene (PP) 77 Cm Large Sea Green Check-in Hard Luggage with TSA Lock Check-in ,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,"1,299",4.0 out of 5 stars,(151)
7,https://www.amazon.in/Blue Tree 10 Ltrs ( Cms)Backpack(Bluetree_Backpacks_034_Multi Colour) ,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","3,999",4.2 out of 5 stars,"(1,058)"
8,"https://www.amazon.in/MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,288,4.0 out of 5 stars,(50)
9,https://www.amazon.in/Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,324,4.0 out of 5 stars,(4)
10,https://www.amazon.in/blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow) ,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",439,4.0 out of 5 stars,(68)
11,https://www.amazon.in/Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",435,4.2 out of 5 stars,(1)
12,https://www.amazon.in/Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Shark ,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,288,3.8 out of 5 stars,(12)
13,https://www.amazon.in/Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag) ,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",435,3.9 out of 5 stars,"(1,480)"
14,https://www.amazon.in/Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment ,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),435,3.9 out of 5 stars,(101)
15,https://www.amazon.in/ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) ,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),288,4.0 out of 5 stars,(567)
16,https://www.amazon.in/Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley ,Skybags Brat Black 46 Cms Casual Backpack,549,4.1 out of 5 stars,"(6,308)"
17,"https://www.amazon.in/Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips ",Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),499,3.8 out of 5 stars,"(15,254)"
18,https://www.amazon.in/SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB) ,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),949,3.9 out of 5 stars,"(18,019)"
